time period,train operating company name,NR on TOC External,NR on TOC Non Track Assets,NR on TOC Severe Weather,NR on TOC Track,TOC on Self Fleet,TOC on Self Operations,TOC on Self Traincrew,TOC on TOC Fleet,TOC on TOC Operations,TOC on TOC Traincrew
Apr 2022 to Mar 2023 (Period 01),Avanti West Coast,6268.2,11318.8,222.3,4406.0,2354.9,751.4,3125.4,2488.9,372.6,1137.0
Apr 2022 to Mar 2023 (Period 02),Avanti West Coast,12967.4,4793.9,95.5,4319.0,2403.7,917.5,2563.4,2970.0,374.3,1283.5
Apr 2022 to Mar 2023 (Period 03),Avanti West Coast,5796.4,12504.8,255.1,3921.0,2626.8,2622.3,3680.8,5977.9,371.6,1327.5
Apr 2022 to Mar 2023 (Period 04),Avanti West Coast,8348.9,14310.8,5820.6,8108.0,5299.3,1197.0,9610.3,4893.5,274.7,919.0
Apr 2022 to Mar 2023 (Period 05),Avanti West Coast,10822.8,7806.3,1418.6,3014.0,6155.4,2866.4,9621.0,2433.0,448.0,1322.4
Apr 2022 to Mar 2023 (Period 06),Avanti West Coast,7155.2,2887.2,1032.5,5169.0,1803.7,1710.5,3962.2,5225.5,462.6,2187.0
Apr 2022 to Mar 2023 (Period 07),Avanti West Coast,7072.7,4487.7,2136.9,5276.0,2856.8,1364.1,4489.4,2815.3,523.1,1086.0
Apr 2022 to Mar 2023 (Period 08),Avanti West Coast,6621.3,10139.4,3588.1,5968.0,3967.8,2287.8,5500.8,8311.6,949.8,2076.0
Apr 2022 to Mar 2023 (Period 09),Avanti West Coast,4909.7,6830.7,1366.7,8726.0,2755.3,1492.2,5786.8,2468.5,543.8,2306.9
Apr 2022 to Mar 2023 (Period 10),Avanti West Coast,3716.0,7443.0,3095.7,7667.0,8648.9,2632.5,9393.2,1814.0,361.1,974.0
Apr 2022 to Mar 2023 (Period 11),Avanti West Coast,9528.5,15141.0,12012.8,7063.0,5844.5,2109.2,7895.7,4327.1,475.7,1144.2
Apr 2022 to Mar 2023 (Period 12),Avanti West Coast,5970.4,10270.1,3641.4,8196.0,4358.6,1393.5,5134.5,5619.5,558.3,1761.5
Apr 2022 to Mar 2023 (Period 13),Avanti West Coast,4973.3,8801.6,1245.7,3753.0,3405.4,1526.9,3063.1,1991.5,763.2,963.6
Apr 2023 to Mar 2024 (Period 01),Avanti West Coast,8155.4,8029.0,1277.7,6091.6,2660.1,682.2,2042.0,3792.5,474.0,1835.5
Apr 2023 to Mar 2024 (Period 02),Avanti West Coast,8791.6,7426.2,1477.2,7122.1,3729.2,803.1,1823.5,6353.0,503.5,1751.5
Apr 2023 to Mar 2024 (Period 03),Avanti West Coast,14350.4,12876.8,8924.1,4562.9,6440.4,672.7,1871.9,4279.0,462.5,2002.0
Apr 2023 to Mar 2024 (Period 04),Avanti West Coast,7980.4,13429.7,3125.8,5034.6,4579.0,992.8,3031.1,5615.7,770.2,1888.5
Apr 2023 to Mar 2024 (Period 05),Avanti West Coast,9742.9,6235.4,2242.1,2231.6,5411.0,706.5,3498.2,4533.5,551.5,2540.0
Apr 2023 to Mar 2024 (Period 06),Avanti West Coast,9655.7,9853.6,1449.2,4882.6,6056.8,1194.8,2029.2,3066.0,619.0,4488.5
Apr 2023 to Mar 2024 (Period 07),Avanti West Coast,6111.7,11019.2,4736.2,5332.4,7563.2,820.3,4369.0,3320.0,773.0,1951.5
Apr 2023 to Mar 2024 (Period 08),Avanti West Coast,16887.4,12553.0,6463.8,10563.5,5301.0,2041.7,5347.0,4666.7,502.0,1874.0
Apr 2023 to Mar 2024 (Period 09),Avanti West Coast,3525.9,17877.0,5350.6,2883.4,8519.7,1318.3,7675.4,7067.9,845.4,1857.4
Apr 2023 to Mar 2024 (Period 10),Avanti West Coast,12023.1,9528.7,13757.0,4562.0,4359.3,1464.6,10007.1,3652.0,425.2,1815.5
Apr 2023 to Mar 2024 (Period 11),Avanti West Coast,6256.1,17886.0,6388.5,3343.2,6532.8,784.8,3414.5,2926.1,722.9,1974.4
Apr 2023 to Mar 2024 (Period 12),Avanti West Coast,7922.0,13618.2,8045.7,3151.5,5407.5,711.1,4792.3,3341.3,589.2,1319.5
Apr 2023 to Mar 2024 (Period 13),Avanti West Coast,7026.5,8512.2,3230.4,2528.7,4479.5,972.1,5477.1,3074.1,573.9,988.9
Apr 2024 to Mar 2025 (Period 01),Avanti West Coast,7813.0,17895.0,2134.0,6937.0,4187.5,426.0,2925.5,2088.5,430.0,1693.5
Apr 2024 to Mar 2025 (Period 02),Avanti West Coast,10806.0,11242.0,3696.0,9481.0,6551.5,301.0,2603.0,3343.0,355.5,1104.5
Apr 2024 to Mar 2025 (Period 03),Avanti West Coast,12061.1,10717.0,528.9,7746.0,8823.0,603.0,2973.5,4159.5,675.5,2967.2
Apr 2024 to Mar 2025 (Period 04),Avanti West Coast,6221.3,14455.6,3522.5,7816.3,14044.5,537.3,5745.1,5420.5,341.5,1342.0
Apr 2024 to Mar 2025 (Period 05),Avanti West Coast,7849.0,17584.0,1525.3,5613.0,8783.5,581.5,4359.5,3491.5,551.6,1898.3
Apr 2024 to Mar 2025 (Period 06),Avanti West Coast,7701.6,14570.3,1928.7,2498.1,8939.0,1168.5,1999.2,4569.0,646.0,2333.5
Apr 2024 to Mar 2025 (Period 07),Avanti West Coast,13283.5,13449.1,2149.8,5000.0,6050.0,411.0,2196.5,4678.0,1074.9,1904.5
Apr 2024 to Mar 2025 (Period 08),Avanti West Coast,9614.5,12456.6,2129.5,10511.7,6751.4,1089.5,2126.0,3995.3,810.0,2018.9
Apr 2024 to Mar 2025 (Period 09),Avanti West Coast,12709.5,13302.5,14852.5,14181.5,6941.5,1319.7,3622.0,4835.5,962.0,2280.0
Apr 2024 to Mar 2025 (Period 10),Avanti West Coast,3888.2,12082.9,14263.2,8033.3,5929.0,762.5,3238.2,3852.5,1005.7,1572.0
Apr 2024 to Mar 2025 (Period 11),Avanti West Coast,17609.7,12688.8,8086.9,5782.0,11933.0,970.0,1975.0,5567.0,712.0,1463.0
Apr 2024 to Mar 2025 (Period 12),Avanti West Coast,5047.6,17746.8,4364.9,5700.6,7049.9,488.2,2856.0,3584.2,1099.4,1318.7
Apr 2024 to Mar 2025 (Period 13),Avanti West Coast,10149.0,9047.0,867.5,8446.4,6271.4,1530.0,1253.0,4063.6,425.8,1867.2
Apr 2025 to Mar 2026 (Period 01),Avanti West Coast,9740.1,11194.8,322.1,7084.3,6527.9,373.6,1710.1,3283.8,287.7,1423.9
Apr 2022 to Mar 2023 (Period 01),Caledonian Sleeper,491.0,203.0,106.0,262.0,781.0,286.0,261.0,114.0,8.0,28.0
Apr 2022 to Mar 2023 (Period 02),Caledonian Sleeper,816.0,283.0,71.0,60.0,693.5,253.5,131.0,42.0,14.0,54.0
Apr 2022 to Mar 2023 (Period 03),Caledonian Sleeper,545.0,929.0,15.0,54.0,227.5,197.0,129.0,1199.0,19.0,102.0
Apr 2022 to Mar 2023 (Period 04),Caledonian Sleeper,1456.0,390.0,88.0,27.0,632.0,281.5,227.0,336.0,25.0,19.0
Apr 2022 to Mar 2023 (Period 05),Caledonian Sleeper,74.0,261.0,253.0,24.0,261.5,321.0,94.5,124.0,36.0,58.0
Apr 2022 to Mar 2023 (Period 10),Caledonian Sleeper,72.0,405.0,779.2,106.0,1117.1,413.5,64.0,308.8,3.0,6.0
Apr 2022 to Mar 2023 (Period 11),Caledonian Sleeper,51.0,677.0,814.5,61.0,683.0,144.5,52.0,490.0,50.0,66.2
Apr 2022 to Mar 2023 (Period 12),Caledonian Sleeper,34.0,278.0,94.0,185.0,780.8,241.0,53.0,297.0,27.0,49.0
Apr 2022 to Mar 2023 (Period 13),Caledonian Sleeper,6.0,274.1,228.0,131.0,214.0,454.7,190.0,16.0,287.0,33.0
Apr 2023 to Mar 2024 (Period 01),Caledonian Sleeper,1465.0,192.0,83.0,158.0,1050.0,391.5,110.0,49.0,18.0,21.0
Apr 2023 to Mar 2024 (Period 02),Caledonian Sleeper,184.0,312.0,21.0,42.0,1089.5,380.0,420.0,108.0,9.0,29.0
Apr 2023 to Mar 2024 (Period 03),Caledonian Sleeper,337.0,356.0,354.0,137.0,1391.0,224.5,40.0,83.0,16.5,26.0
Apr 2023 to Mar 2024 (Period 04),Caledonian Sleeper,199.0,114.0,200.0,104.0,576.0,147.0,30.0,263.0,20.0,53.0
Apr 2023 to Mar 2024 (Period 05),Caledonian Sleeper,983.0,201.0,127.0,55.0,182.5,106.0,62.0,1053.0,42.0,47.0
Apr 2023 to Mar 2024 (Period 06),Caledonian Sleeper,141.0,154.0,66.0,82.0,361.0,116.5,28.0,192.0,15.0,66.0
Apr 2023 to Mar 2024 (Period 07),Caledonian Sleeper,158.6,1218.0,1183.5,159.0,313.0,115.5,132.5,321.3,81.0,20.5
Apr 2023 to Mar 2024 (Period 08),Caledonian Sleeper,668.0,193.0,685.0,184.0,434.0,244.5,148.0,421.0,15.0,91.5
Apr 2023 to Mar 2024 (Period 09),Caledonian Sleeper,13.0,376.0,574.5,62.0,2177.0,162.5,71.0,340.0,38.0,50.0
Apr 2023 to Mar 2024 (Period 10),Caledonian Sleeper,123.0,111.6,862.6,179.0,228.1,122.0,99.0,126.0,38.7,40.0
Apr 2023 to Mar 2024 (Period 11),Caledonian Sleeper,29.2,180.3,603.0,43.0,519.0,346.7,75.0,268.9,33.0,29.5
Apr 2023 to Mar 2024 (Period 12),Caledonian Sleeper,55.0,242.2,280.8,107.0,740.6,153.8,537.0,38.4,81.0,72.9
Apr 2023 to Mar 2024 (Period 13),Caledonian Sleeper,142.0,213.9,78.7,131.0,559.1,245.1,41.0,69.0,38.4,53.3
Apr 2024 to Mar 2025 (Period 01),Caledonian Sleeper,249.0,350.0,102.0,170.0,534.0,229.0,120.0,274.0,16.0,11.0
Apr 2024 to Mar 2025 (Period 02),Caledonian Sleeper,368.0,315.0,444.0,120.0,426.0,336.0,116.0,112.0,76.0,28.0
Apr 2024 to Mar 2025 (Period 03),Caledonian Sleeper,821.0,1796.9,53.0,122.0,301.0,384.7,75.0,686.0,20.0,1442.0
Apr 2024 to Mar 2025 (Period 04),Caledonian Sleeper,100.0,76.0,19.2,138.0,223.0,149.5,97.0,203.0,9.0,39.5
Apr 2024 to Mar 2025 (Period 05),Caledonian Sleeper,106.0,962.0,69.0,107.0,449.5,219.0,192.0,82.5,14.0,49.0
Apr 2024 to Mar 2025 (Period 06),Caledonian Sleeper,113.1,135.0,88.0,15.0,397.0,174.5,58.0,626.7,16.5,13.0
Apr 2024 to Mar 2025 (Period 07),Caledonian Sleeper,75.0,110.2,114.0,218.0,1004.0,282.5,181.0,465.0,43.5,37.0
Apr 2024 to Mar 2025 (Period 08),Caledonian Sleeper,151.0,172.1,448.7,97.0,267.7,279.5,188.5,140.0,49.0,128.3
Apr 2024 to Mar 2025 (Period 09),Caledonian Sleeper,77.4,250.0,366.0,89.0,986.0,299.0,245.0,293.0,50.4,97.0
Apr 2024 to Mar 2025 (Period 10),Caledonian Sleeper,354.0,258.0,558.0,187.0,925.0,405.5,196.0,81.0,19.0,69.0
Apr 2024 to Mar 2025 (Period 11),Caledonian Sleeper,333.4,113.0,245.2,30.0,408.0,356.0,175.3,103.0,49.0,34.0
Apr 2024 to Mar 2025 (Period 12),Caledonian Sleeper,4.0,328.3,950.4,77.0,442.0,299.2,115.0,117.6,36.5,37.0
Apr 2024 to Mar 2025 (Period 13),Caledonian Sleeper,43.7,241.6,61.8,37.0,995.0,449.4,87.0,87.0,[z],32.1
Apr 2025 to Mar 2026 (Period 01),Caledonian Sleeper,69.3,331.2,15.1,231.0,1163.0,218.2,164.6,137.6,22.0,46.0
Apr 2022 to Mar 2023 (Period 04),Chiltern Railways,2686.0,1917.4,1731.0,1325.0,3432.0,526.0,887.0,270.1,25.0,530.0
Apr 2022 to Mar 2023 (Period 05),Chiltern Railways,3565.0,3642.0,939.0,1908.0,2401.0,1026.5,1049.5,445.0,32.5,433.0
Apr 2022 to Mar 2023 (Period 06),Chiltern Railways,2379.0,8089.0,714.0,1916.0,2270.5,630.0,767.5,283.0,37.0,382.0
Apr 2022 to Mar 2023 (Period 07),Chiltern Railways,2298.5,1285.5,172.5,3315.0,2957.5,302.5,627.5,435.5,124.0,271.0
Apr 2022 to Mar 2023 (Period 08),Chiltern Railways,1138.0,2426.5,2166.8,1189.0,2870.0,384.5,1127.0,670.0,180.0,438.0
Apr 2022 to Mar 2023 (Period 09),Chiltern Railways,2751.5,1535.0,1257.0,1181.0,3013.5,383.5,820.5,467.0,136.0,685.3
Apr 2022 to Mar 2023 (Period 10),Chiltern Railways,288.0,567.0,3.5,326.0,1168.0,155.0,164.0,137.0,26.0,34.0
Apr 2022 to Mar 2023 (Period 11),Chiltern Railways,2673.0,1099.0,547.0,2148.0,3887.5,234.0,749.0,540.0,17.7,352.0
Apr 2022 to Mar 2023 (Period 12),Chiltern Railways,4813.0,1591.5,264.1,181.0,2120.5,217.0,419.5,751.0,162.5,601.3
Apr 2022 to Mar 2023 (Period 13),Chiltern Railways,1202.0,2831.7,2871.0,64.0,2143.5,436.4,539.7,882.5,158.4,206.0
Apr 2023 to Mar 2024 (Period 01),Chiltern Railways,3535.0,3940.0,1798.5,2798.0,4018.5,453.5,1083.0,3888.0,125.0,185.5
Apr 2023 to Mar 2024 (Period 02),Chiltern Railways,1471.0,1127.0,847.0,673.0,1592.0,216.0,317.0,1069.0,27.0,350.0
Apr 2023 to Mar 2024 (Period 03),Chiltern Railways,2818.0,1345.0,1015.0,436.0,2604.0,250.0,842.0,302.0,29.5,113.0
Apr 2023 to Mar 2024 (Period 04),Chiltern Railways,908.0,898.0,362.0,211.0,1898.0,223.0,343.0,251.0,46.0,173.0
Apr 2023 to Mar 2024 (Period 05),Chiltern Railways,1144.0,2432.0,67.0,237.0,2381.5,282.0,655.0,196.0,57.0,318.0
Apr 2023 to Mar 2024 (Period 06),Chiltern Railways,817.5,1911.5,407.5,506.0,2510.0,137.0,718.0,372.0,42.5,148.0
Apr 2023 to Mar 2024 (Period 07),Chiltern Railways,1391.0,1525.5,263.3,178.0,1781.5,309.0,700.0,378.0,57.5,275.5
Apr 2023 to Mar 2024 (Period 08),Chiltern Railways,1525.0,2710.0,1481.5,93.0,2050.0,171.5,591.0,440.0,75.2,287.0
Apr 2023 to Mar 2024 (Period 09),Chiltern Railways,1058.0,1694.0,1029.7,1936.0,2835.5,201.0,806.0,348.9,84.0,384.5
Apr 2023 to Mar 2024 (Period 10),Chiltern Railways,1755.0,1646.0,3000.0,353.0,1779.0,464.0,776.0,252.0,21.0,129.0
Apr 2023 to Mar 2024 (Period 11),Chiltern Railways,1304.0,2000.0,4447.0,397.0,2071.0,498.5,281.5,361.0,88.0,231.0
Apr 2023 to Mar 2024 (Period 12),Chiltern Railways,993.0,7545.0,1428.0,104.0,1902.5,469.0,444.0,125.0,268.0,149.0
Apr 2023 to Mar 2024 (Period 13),Chiltern Railways,1377.2,1815.4,2633.2,140.0,3344.2,234.4,544.9,443.0,35.5,88.7
Apr 2024 to Mar 2025 (Period 01),Chiltern Railways,1442.0,966.0,480.0,40.0,1689.5,308.5,524.5,143.0,14.0,126.0
Apr 2024 to Mar 2025 (Period 02),Chiltern Railways,1140.0,838.0,564.0,322.0,3571.5,213.0,524.0,118.0,35.0,192.5
Apr 2024 to Mar 2025 (Period 03),Chiltern Railways,1291.0,6108.0,575.0,624.0,2115.5,176.5,508.0,403.0,125.0,191.8
Apr 2024 to Mar 2025 (Period 04),Chiltern Railways,5445.0,2274.0,644.0,375.0,2003.5,134.0,793.0,297.0,52.0,261.0
Apr 2024 to Mar 2025 (Period 05),Chiltern Railways,2838.5,2427.5,706.0,215.0,3291.0,214.0,374.0,521.0,62.5,147.5
Apr 2024 to Mar 2025 (Period 06),Chiltern Railways,1890.0,1080.5,837.0,1070.0,2479.5,243.5,688.0,385.0,137.0,397.0
Apr 2024 to Mar 2025 (Period 07),Chiltern Railways,483.0,4585.0,8690.4,1531.0,2360.5,230.7,828.5,1033.0,15.5,104.0
Apr 2024 to Mar 2025 (Period 08),Chiltern Railways,615.0,4959.0,533.1,221.0,3014.0,276.0,625.0,472.0,74.0,188.0
Apr 2024 to Mar 2025 (Period 09),Chiltern Railways,3268.0,2312.0,3058.8,1148.0,3649.0,502.5,2317.5,527.0,210.0,198.0
Apr 2024 to Mar 2025 (Period 10),Chiltern Railways,536.0,1596.0,397.9,1039.0,2567.5,225.0,1056.0,241.0,20.0,199.5
Apr 2024 to Mar 2025 (Period 11),Chiltern Railways,1292.5,1817.0,593.0,194.0,2577.5,111.0,645.0,1093.0,68.0,197.0
Apr 2024 to Mar 2025 (Period 12),Chiltern Railways,950.0,2030.0,83.0,1703.0,2630.0,499.0,592.0,198.7,37.0,116.0
Apr 2024 to Mar 2025 (Period 13),Chiltern Railways,2217.0,837.3,306.1,1024.0,1679.0,233.4,411.7,223.0,52.5,205.6
Apr 2025 to Mar 2026 (Period 01),Chiltern Railways,999.8,2536.8,15.6,257.0,1888.8,200.0,508.9,181.0,30.9,115.1
Apr 2022 to Mar 2023 (Period 03),CrossCountry,5278.5,11784.2,3359.0,2880.0,1377.0,556.5,1386.0,3728.9,630.7,1474.2
Apr 2022 to Mar 2023 (Period 04),CrossCountry,6089.0,8543.8,8235.0,7096.0,1769.0,653.0,1584.5,5596.0,823.8,1889.8
Apr 2022 to Mar 2023 (Period 05),CrossCountry,6887.0,7693.1,6647.1,7472.0,2186.0,686.5,1028.0,4386.0,664.3,1576.0
Apr 2022 to Mar 2023 (Period 06),CrossCountry,6060.0,7594.7,2583.2,6583.0,1583.0,411.0,1338.0,2664.0,706.0,2054.3
Apr 2022 to Mar 2023 (Period 07),CrossCountry,6087.5,5886.9,2570.2,6776.0,1387.5,453.0,935.0,2814.5,634.7,1470.2
Apr 2022 to Mar 2023 (Period 08),CrossCountry,8720.0,6610.1,3825.3,5444.0,1794.5,917.5,2905.5,4618.4,907.9,2764.7
Apr 2022 to Mar 2023 (Period 09),CrossCountry,5126.5,6483.5,3637.6,4755.0,2193.0,693.0,3016.0,5465.7,1024.4,2337.4
Apr 2022 to Mar 2023 (Period 10),CrossCountry,1833.0,4587.9,2146.1,2055.3,1632.0,1197.0,1523.0,2204.1,772.4,1637.3
Apr 2022 to Mar 2023 (Period 11),CrossCountry,4465.0,7516.0,4061.8,6524.0,2507.0,441.0,1375.0,4774.4,777.4,1947.9
Apr 2022 to Mar 2023 (Period 12),CrossCountry,4923.9,4541.8,3488.6,6728.0,2137.0,378.5,1202.0,3988.6,832.2,1934.4
Apr 2022 to Mar 2023 (Period 13),CrossCountry,5230.5,4507.8,3856.2,3489.1,2102.0,531.0,784.1,4266.5,622.1,1585.3
Apr 2023 to Mar 2024 (Period 01),CrossCountry,8058.1,7485.8,3304.0,4423.0,1423.0,410.0,1390.0,3282.6,572.0,1831.0
Apr 2023 to Mar 2024 (Period 02),CrossCountry,7183.7,9564.5,4173.5,3047.0,1780.0,524.0,1364.0,3756.1,563.2,1549.5
Apr 2023 to Mar 2024 (Period 03),CrossCountry,7215.5,13321.4,9853.1,5354.0,3017.0,855.0,2835.5,5552.2,928.6,2253.0
Apr 2023 to Mar 2024 (Period 04),CrossCountry,9102.1,10500.2,2103.1,5484.0,1626.0,509.5,2196.0,4662.1,1264.5,2864.8
Apr 2023 to Mar 2024 (Period 05),CrossCountry,6773.6,7590.5,2403.1,3347.3,1604.0,341.0,2210.0,6188.4,973.6,3117.6
Apr 2023 to Mar 2024 (Period 06),CrossCountry,5897.1,9358.3,1916.1,5066.1,2045.0,655.5,1319.0,5459.6,942.5,3016.3
Apr 2023 to Mar 2024 (Period 07),CrossCountry,8559.2,9906.0,1576.5,4124.0,2164.0,689.0,1500.5,5732.5,1070.0,3143.9
Apr 2023 to Mar 2024 (Period 08),CrossCountry,7353.3,13744.1,14471.9,4199.2,2037.5,889.5,1309.5,6828.8,1035.9,3336.9
Apr 2023 to Mar 2024 (Period 09),CrossCountry,6416.6,9165.1,8844.7,7221.5,3076.0,962.5,2879.0,6879.7,1272.4,3002.9
Apr 2023 to Mar 2024 (Period 10),CrossCountry,8159.5,8298.8,14658.3,2576.0,1812.0,1217.8,3491.0,4738.2,894.1,2718.3
Apr 2023 to Mar 2024 (Period 11),CrossCountry,5671.7,13769.2,4519.5,4882.4,1734.0,925.7,1299.0,5533.5,1146.1,2340.6
Apr 2023 to Mar 2024 (Period 12),CrossCountry,6075.3,8414.1,6026.8,9167.3,1867.0,977.0,1443.0,4577.4,693.6,1846.8
Apr 2023 to Mar 2024 (Period 13),CrossCountry,8353.5,8024.1,2602.1,5544.9,2200.9,693.9,1250.0,5134.3,1194.7,2304.5
Apr 2024 to Mar 2025 (Period 01),CrossCountry,7276.0,8767.1,6053.0,7587.0,2080.0,380.0,1184.0,4472.0,791.9,1739.0
Apr 2024 to Mar 2025 (Period 02),CrossCountry,8775.0,10922.4,1713.3,4033.2,2535.0,612.0,1317.5,4280.0,633.5,1977.5
Apr 2024 to Mar 2025 (Period 03),CrossCountry,10443.2,8601.1,1001.2,3735.7,1760.0,496.5,2116.5,4983.0,990.8,2287.5
Apr 2024 to Mar 2025 (Period 04),CrossCountry,12247.0,12445.3,1008.5,5854.1,1904.0,579.5,1757.5,6105.2,837.8,2345.9
Apr 2024 to Mar 2025 (Period 05),CrossCountry,9622.0,12202.0,860.1,3861.0,2806.0,678.5,1923.5,5341.0,749.6,2526.0
Apr 2024 to Mar 2025 (Period 06),CrossCountry,10456.5,6330.9,1554.7,4953.0,1902.0,726.0,1219.0,4422.5,1297.2,2583.5
Apr 2024 to Mar 2025 (Period 07),CrossCountry,9115.1,11006.9,5667.4,2455.0,2330.0,896.5,891.5,5884.1,922.8,2697.0
Apr 2024 to Mar 2025 (Period 08),CrossCountry,9403.5,10513.3,3045.1,3352.1,1880.0,1044.0,1195.5,5242.5,889.6,2734.8
Apr 2024 to Mar 2025 (Period 09),CrossCountry,9898.7,16395.4,14559.2,3714.0,3470.0,1294.0,4218.5,7308.3,1089.3,3513.4
Apr 2024 to Mar 2025 (Period 10),CrossCountry,5196.2,9268.2,6376.2,4358.1,3721.0,626.5,2426.0,4429.4,736.7,2484.7
Apr 2024 to Mar 2025 (Period 11),CrossCountry,7681.2,12824.5,10185.1,3743.0,2904.0,695.5,1122.0,7038.3,788.7,1953.5
Apr 2024 to Mar 2025 (Period 12),CrossCountry,6929.2,6987.3,766.1,3429.3,1873.0,288.5,1562.0,5036.8,685.0,2761.8
Apr 2024 to Mar 2025 (Period 13),CrossCountry,8307.0,7877.7,391.6,3253.7,2360.6,510.5,1548.4,4837.2,741.4,2333.3
Apr 2025 to Mar 2026 (Period 01),CrossCountry,8978.4,9108.2,469.5,3144.0,2881.2,578.6,1448.5,4718.5,760.5,1851.7
Apr 2022 to Mar 2023 (Period 02),East Midlands Railway,11922.5,3862.0,469.0,3357.0,4533.0,574.5,2889.0,2128.5,579.5,1459.5
Apr 2022 to Mar 2023 (Period 03),East Midlands Railway,4254.1,5823.0,936.0,3056.0,5250.0,530.5,3160.5,1623.4,716.5,1365.5
Apr 2022 to Mar 2023 (Period 04),East Midlands Railway,6718.9,8177.3,10718.5,3927.0,8187.5,1001.5,3479.0,2077.8,897.0,1735.0
Apr 2022 to Mar 2023 (Period 05),East Midlands Railway,13447.0,7807.5,5527.0,8006.0,8193.0,1651.0,3287.0,2033.9,813.5,1414.0
Apr 2022 to Mar 2023 (Period 06),East Midlands Railway,3157.0,5173.0,2784.0,9212.0,6556.0,629.0,3060.0,1339.5,578.5,2014.0
Apr 2022 to Mar 2023 (Period 07),East Midlands Railway,5652.7,4822.0,2846.0,7185.0,4838.5,255.0,2380.5,1741.8,767.5,1695.5
Apr 2022 to Mar 2023 (Period 08),East Midlands Railway,6828.1,7587.0,5022.0,3322.0,7294.0,857.0,3498.5,2189.3,1323.6,2525.0
Apr 2022 to Mar 2023 (Period 09),East Midlands Railway,3176.0,8161.0,3577.6,3664.0,7889.0,960.5,2342.0,2819.0,835.9,2098.5
Apr 2022 to Mar 2023 (Period 10),East Midlands Railway,794.0,4489.0,1722.5,1160.0,4573.0,1392.0,2775.5,1346.0,682.0,1300.0
Apr 2022 to Mar 2023 (Period 11),East Midlands Railway,3168.2,10860.6,2514.8,3267.0,5121.8,604.5,1858.0,1677.9,754.0,1282.1
Apr 2022 to Mar 2023 (Period 12),East Midlands Railway,4508.0,6153.1,1017.0,3216.0,5267.5,437.0,2293.0,2387.6,924.3,1702.4
Apr 2022 to Mar 2023 (Period 13),East Midlands Railway,3001.1,10801.3,2066.9,3848.9,5207.8,156.3,2153.9,1748.4,644.0,1212.3
Apr 2023 to Mar 2024 (Period 01),East Midlands Railway,4612.0,10473.8,1008.0,4458.0,4413.0,298.5,2708.5,2118.0,513.5,932.0
Apr 2023 to Mar 2024 (Period 02),East Midlands Railway,5191.5,5240.0,1496.0,3029.0,4537.0,168.5,2713.5,2780.0,363.5,1404.5
Apr 2023 to Mar 2024 (Period 03),East Midlands Railway,4831.8,10978.8,3926.2,4369.0,6675.2,306.0,3295.0,2843.6,613.0,1164.5
Apr 2023 to Mar 2024 (Period 04),East Midlands Railway,5399.6,7804.8,1034.0,2747.0,6220.0,56.5,3133.0,1547.5,388.5,1556.3
Apr 2023 to Mar 2024 (Period 05),East Midlands Railway,5909.5,9433.0,837.1,2653.0,5735.0,592.0,3293.5,3244.0,514.5,1425.7
Apr 2023 to Mar 2024 (Period 06),East Midlands Railway,7562.1,9381.7,381.1,3196.0,6093.0,82.5,2006.0,2253.7,397.6,1286.0
Apr 2023 to Mar 2024 (Period 07),East Midlands Railway,5739.1,9228.0,994.1,2713.0,5497.0,186.0,2916.0,2262.0,905.0,1277.4
Apr 2023 to Mar 2024 (Period 08),East Midlands Railway,4978.0,11423.9,17837.0,4554.0,5998.0,506.0,4553.0,3731.9,681.5,1910.0
Apr 2023 to Mar 2024 (Period 09),East Midlands Railway,6302.1,11278.4,14580.8,6667.0,7470.0,380.5,4000.5,2449.4,613.7,2330.5
Apr 2023 to Mar 2024 (Period 10),East Midlands Railway,5937.0,8446.6,18513.6,3372.1,9004.0,275.0,3524.0,3398.6,737.6,1758.6
Apr 2023 to Mar 2024 (Period 11),East Midlands Railway,6893.2,15138.0,5356.9,3572.0,6072.0,144.5,2534.5,2522.9,528.8,1332.0
Apr 2023 to Mar 2024 (Period 12),East Midlands Railway,6415.0,8628.6,2600.9,5553.0,5554.4,301.0,2738.5,2629.9,583.9,1784.4
Apr 2023 to Mar 2024 (Period 13),East Midlands Railway,7768.8,8999.7,571.6,4721.7,6354.9,248.7,2150.1,2060.9,792.8,1169.5
Apr 2024 to Mar 2025 (Period 01),East Midlands Railway,7899.0,6306.0,1177.0,3697.0,5541.0,550.0,2152.0,2655.5,312.0,1097.0
Apr 2024 to Mar 2025 (Period 02),East Midlands Railway,4794.0,10071.0,1250.0,1977.0,6433.5,320.5,2246.0,1964.5,423.0,1128.0
Apr 2024 to Mar 2025 (Period 03),East Midlands Railway,10328.9,7108.2,1358.0,5023.0,7787.5,211.5,2892.5,1340.5,425.5,1556.5
Apr 2024 to Mar 2025 (Period 04),East Midlands Railway,8646.2,10638.9,709.0,2883.0,9414.5,446.0,2960.5,2443.6,465.0,1813.5
Apr 2024 to Mar 2025 (Period 05),East Midlands Railway,9525.5,11551.0,884.0,3154.0,9127.0,121.5,2793.0,2016.0,462.0,1239.0
Apr 2024 to Mar 2025 (Period 06),East Midlands Railway,12450.5,8948.0,1087.5,5112.0,8762.0,140.5,2632.5,2361.0,554.1,1801.7
Apr 2024 to Mar 2025 (Period 07),East Midlands Railway,9049.5,7694.0,5175.5,1515.0,6624.5,92.5,3242.0,2904.5,659.0,2075.0
