date,toc_name,nr_on_toc_external,nr_on_toc_non_track_assets,nr_on_toc_severe_weather,nr_on_toc_track,toc_on_self_fleet,toc_on_self_operations,toc_on_self_traincrew,toc_on_toc_fleet,toc_on_toc_operations,toc_on_toc_traincrew
Apr 2023 to Mar 2024 (Period 09),Vintage Trains,0,3,3,19,0,87,0,18,0,7
Apr 2023 to Mar 2024 (Period 10),Vintage Trains,12,14,2,12,0,91,0,0,0,11
Apr 2023 to Mar 2024 (Period 12),Vintage Trains,0,0,0,0,0,7,0,16,0,0
Apr 2023 to Mar 2024 (Period 13),Vintage Trains,0,0,0,0,0,30,0,0,0,0
Apr 2024 to Mar 2025 (Period 02),Vintage Trains,0,0,0,14,28,18,0,4,0,0
Apr 2024 to Mar 2025 (Period 03),Vintage Trains,0,21,1,0,0,47,4,12,4,0
Apr 2024 to Mar 2025 (Period 04),Vintage Trains,0,10,0,4,0,17,0,11,0,0
Apr 2024 to Mar 2025 (Period 05),Vintage Trains,0,0,0,0,3,0,0,0,0,0
Apr 2024 to Mar 2025 (Period 07),Vintage Trains,10,27,17,0,31,11,12,0,0,6
Apr 2024 to Mar 2025 (Period 08),Vintage Trains,0,9,0,0,0,0,0,0,0,0
Apr 2024 to Mar 2025 (Period 09),Vintage Trains,13,33,51,16,27,40,0,42,0,3
Apr 2024 to Mar 2025 (Period 10),Vintage Trains,0,0,4,6,0,46,0,24,0,4
Apr 2024 to Mar 2025 (Period 13),Vintage Trains,0,0,0,5,67,16,0,0,0,7
Apr 2025 to Mar 2026 (Period 01),Vintage Trains,0,0,0,0,0,0,0,0,0,0
Apr 2022 to Mar 2023 (Period 01),West Midlands Trains,10464,11524,682,5311,3764,110,6432,2492,762,1162
Apr 2022 to Mar 2023 (Period 02),West Midlands Trains,9497,8000,2002,5161,4742,272,6229,2310,877,1556
Apr 2022 to Mar 2023 (Period 03),West Midlands Trains,4452,11100,3123,3899,5164,846,6864,5337,737,1664
Apr 2022 to Mar 2023 (Period 04),West Midlands Trains,5890,16934,5862,8456,5537,801,9758,4262,824,2632
Apr 2022 to Mar 2023 (Period 05),West Midlands Trains,13204,11346,3861,8355,6963,933,7290,3960,1072,3073
Apr 2022 to Mar 2023 (Period 06),West Midlands Trains,8710,12789,2932,9752,4255,281,9266,3293,1217,2955
Apr 2022 to Mar 2023 (Period 07),West Midlands Trains,9099,6872,2318,7364,4234,413,5959,2670,1271,1727
Apr 2022 to Mar 2023 (Period 08),West Midlands Trains,11872,11318,5464,9145,4085,993,9252,5661,1593,3517
Apr 2022 to Mar 2023 (Period 09),West Midlands Trains,7501,9357,4849,12721,8360,351,8430,3462,1166,3156
Apr 2022 to Mar 2023 (Period 10),West Midlands Trains,4912,9618,1796,6049,4777,1102,5048,2142,806,1820
Apr 2022 to Mar 2023 (Period 11),West Midlands Trains,7758,13997,4805,5072,8241,280,5253,4394,1060,2758
Apr 2022 to Mar 2023 (Period 12),West Midlands Trains,7918,5396,1994,5246,8537,316,6479,4079,948,1676
Apr 2022 to Mar 2023 (Period 13),West Midlands Trains,7462,7312,2132,2851,5276,571,5298,2850,1130,1946
Apr 2023 to Mar 2024 (Period 01),West Midlands Trains,9543,7540,3523,4931,5094,672,5872,3248,968,1863
Apr 2023 to Mar 2024 (Period 02),West Midlands Trains,8030,6404,1657,4891,5061,314,5947,2996,745,1362
Apr 2023 to Mar 2024 (Period 03),West Midlands Trains,11008,16196,9820,4652,5643,258,7202,6332,1132,2276
Apr 2023 to Mar 2024 (Period 04),West Midlands Trains,8083,13165,1820,4990,6120,317,5906,3717,1495,3680
Apr 2023 to Mar 2024 (Period 05),West Midlands Trains,7696,6258,1635,3129,4058,563,9058,5360,1207,2872
Apr 2023 to Mar 2024 (Period 06),West Midlands Trains,7332,9493,1311,4920,6356,182,5790,4469,1240,2735
Apr 2023 to Mar 2024 (Period 07),West Midlands Trains,7918,7172,1617,4312,5693,774,6210,4704,1132,2483
Apr 2023 to Mar 2024 (Period 08),West Midlands Trains,9924,11303,7272,6798,7433,592,6212,5129,1184,2546
Apr 2023 to Mar 2024 (Period 09),West Midlands Trains,6853,20097,6432,4051,7366,390,10744,4540,1216,3302
Apr 2023 to Mar 2024 (Period 10),West Midlands Trains,10184,8434,10938,3607,4744,210,6188,3606,1203,2991
Apr 2023 to Mar 2024 (Period 11),West Midlands Trains,5564,10312,3928,4776,5793,158,5558,4700,1185,1887
Apr 2023 to Mar 2024 (Period 12),West Midlands Trains,6640,9026,7534,4318,5403,191,5955,3678,883,2376
Apr 2023 to Mar 2024 (Period 13),West Midlands Trains,7672,8739,2838,2822,6448,240,5493,3387,804,2162
Apr 2024 to Mar 2025 (Period 01),West Midlands Trains,9916,13082,1036,4695,3405,282,5572,3253,472,1410
Apr 2024 to Mar 2025 (Period 02),West Midlands Trains,16685,8926,1554,4592,6223,248,7268,4214,526,1491
Apr 2024 to Mar 2025 (Period 03),West Midlands Trains,12070,10549,658,4458,6542,632,7998,5220,763,2313
Apr 2024 to Mar 2025 (Period 04),West Midlands Trains,5902,13062,1372,5512,7004,680,8444,8574,599,2465
Apr 2024 to Mar 2025 (Period 05),West Midlands Trains,12282,13654,842,3430,8426,913,6699,4428,754,1862
Apr 2024 to Mar 2025 (Period 06),West Midlands Trains,8704,10430,1005,2585,6660,897,7972,4158,1185,1772
Apr 2024 to Mar 2025 (Period 07),West Midlands Trains,10015,8649,4663,2160,6617,832,8641,5428,1110,1746
Apr 2024 to Mar 2025 (Period 08),West Midlands Trains,6958,9286,7014,5782,6905,433,7720,5338,1116,2314
Apr 2024 to Mar 2025 (Period 09),West Midlands Trains,12856,16223,15123,6348,7227,3179,8772,5480,996,2554
Apr 2024 to Mar 2025 (Period 10),West Midlands Trains,5974,9584,5369,5195,6772,55,6612,4398,865,1952
Apr 2024 to Mar 2025 (Period 11),West Midlands Trains,8258,8416,5924,4400,8314,203,4492,6367,683,1318
Apr 2024 to Mar 2025 (Period 12),West Midlands Trains,6241,11950,1702,5435,6482,84,4674,4492,842,1467
Apr 2024 to Mar 2025 (Period 13),West Midlands Trains,8932,9233,206,6365,6128,167,4570,4246,803,2477
Apr 2025 to Mar 2026 (Period 01),West Midlands Trains,10723,8121,123,3894,5648,302,4440,3856,599,1812
Apr 2022 to Mar 2023 (Period 01),c2c,1891,348,161,519,816,21,444,97,40,194
Apr 2022 to Mar 2023 (Period 02),c2c,499,251,10,2088,566,24,196,81,17,56
Apr 2022 to Mar 2023 (Period 03),c2c,1558,626,33,176,1744,113,667,66,25,207
Apr 2022 to Mar 2023 (Period 04),c2c,1361,1202,2146,261,923,20,512,21,27,31
Apr 2022 to Mar 2023 (Period 05),c2c,872,1302,3898,3663,593,60,536,125,26,36
Apr 2022 to Mar 2023 (Period 06),c2c,305,1203,1667,3002,628,31,874,32,110,28
Apr 2022 to Mar 2023 (Period 07),c2c,328,837,31,392,410,126,331,18,44,27
Apr 2022 to Mar 2023 (Period 08),c2c,1634,105,316,809,266,74,554,46,30,52
Apr 2022 to Mar 2023 (Period 09),c2c,2571,1222,107,1105,350,175,215,120,51,116
Apr 2022 to Mar 2023 (Period 10),c2c,132,1120,49,479,366,55,284,36,26,211
Apr 2022 to Mar 2023 (Period 11),c2c,379,394,23,470,297,86,318,65,38,39
Apr 2022 to Mar 2023 (Period 12),c2c,2129,350,36,1214,132,127,344,20,45,68
Apr 2022 to Mar 2023 (Period 13),c2c,3366,357,109,270,244,98,204,21,58,11
Apr 2023 to Mar 2024 (Period 01),c2c,709,788,9,161,260,52,185,63,76,49
Apr 2023 to Mar 2024 (Period 02),c2c,1979,653,0,192,316,25,569,34,52,231
Apr 2023 to Mar 2024 (Period 03),c2c,1087,2612,150,3396,444,17,295,149,62,181
Apr 2023 to Mar 2024 (Period 04),c2c,1181,653,0,1065,773,22,434,42,62,57
Apr 2023 to Mar 2024 (Period 05),c2c,509,288,3,322,203,13,266,92,22,133
Apr 2023 to Mar 2024 (Period 06),c2c,2160,466,5,235,386,18,245,322,140,208
Apr 2023 to Mar 2024 (Period 07),c2c,2546,320,7,498,652,83,300,75,96,44
Apr 2023 to Mar 2024 (Period 08),c2c,437,352,16,865,1931,18,437,25,90,48
Apr 2023 to Mar 2024 (Period 09),c2c,818,468,56,525,614,30,523,73,78,133
Apr 2023 to Mar 2024 (Period 10),c2c,383,215,1040,539,420,78,1132,97,56,102
Apr 2023 to Mar 2024 (Period 11),c2c,313,1176,744,520,1265,17,450,22,34,13
Apr 2023 to Mar 2024 (Period 12),c2c,1018,127,51,12,1005,54,177,75,59,14
Apr 2023 to Mar 2024 (Period 13),c2c,638,689,44,72,884,36,358,8,36,8
Apr 2024 to Mar 2025 (Period 01),c2c,129,189,4189,262,1119,90,382,48,46,27
Apr 2024 to Mar 2025 (Period 02),c2c,215,631,30,1046,556,13,166,87,38,3
Apr 2024 to Mar 2025 (Period 03),c2c,575,938,27,292,1301,59,1186,72,42,34
Apr 2024 to Mar 2025 (Period 04),c2c,793,3482,3,329,1671,67,315,90,46,22
Apr 2024 to Mar 2025 (Period 05),c2c,1648,438,0,528,1712,72,470,56,71,35
Apr 2024 to Mar 2025 (Period 06),c2c,334,472,12,359,1017,221,597,50,48,33
Apr 2024 to Mar 2025 (Period 07),c2c,1246,1026,18,488,893,57,304,285,55,157
Apr 2024 to Mar 2025 (Period 08),c2c,617,1396,1166,146,1963,25,520,81,33,56
Apr 2024 to Mar 2025 (Period 09),c2c,125,619,421,214,1055,6,535,78,29,41
Apr 2024 to Mar 2025 (Period 10),c2c,526,1568,58,367,879,73,438,10,18,14
Apr 2024 to Mar 2025 (Period 11),c2c,1931,647,5,174,2542,135,824,46,40,61
Apr 2024 to Mar 2025 (Period 12),c2c,3059,178,5,149,531,207,501,33,114,12
Apr 2024 to Mar 2025 (Period 13),c2c,985,2356,48,654,1049,132,501,30,70,28
Apr 2025 to Mar 2026 (Period 01),c2c,982,1242,9,430,1045,136,235,158,59,86
